cty,Name,Fraction_Married_rP_gP_pall
cty16025,"Camas County, ID",0.5978
cty17005,"Bond County, IL",0.5977
cty29005,"Atchison County, MO",0.5977
cty49035,"Salt Lake County, UT",0.5975
cty26061,"Houghton County, MI",0.5975
cty31025,"Cass County, NE",0.5974
cty20127,"Morris County, KS",0.5974
cty17175,"Stark County, IL",0.5972
cty55087,"Outagamie County, WI",0.5971
cty21171,"Monroe County, KY",0.5968
cty51051,"Dickenson County, VA",0.5968
cty38093,"Stutsman County, ND",0.5967
cty31021,"Burt County, NE",0.5967
cty27107,"Norman County, MN",0.5965
cty39161,"Van Wert County, OH",0.5963
cty48263,"Kent County, TX",0.5963
cty27063,"Jackson County, MN",0.5962
cty20143,"Ottawa County, KS",0.5962
cty20031,"Coffey County, KS",0.5961
cty17173,"Shelby County, IL",0.5959
cty19197,"Wright County, IA",0.5957
cty55093,"Pierce County, WI",0.5957
cty27019,"Carver County, MN",0.5956
cty55141,"Wood County, WI",0.5955
cty27079,"Le Sueur County, MN",0.5951
cty27103,"Nicollet County, MN",0.5951
cty27169,"Winona County, MN",0.5949
cty55131,"Washington County, WI",0.5945
cty46117,"Stanley County, SD",0.5944
cty54093,"Tucker County, WV",0.5944
cty21055,"Crittenden County, KY",0.5944
cty55061,"Kewaunee County, WI",0.5943
cty20151,"Pratt County, KS",0.5941
cty27161,"Waseca County, MN",0.5941
cty38105,"Williams County, ND",0.594
cty30043,"Jefferson County, MT",0.594
cty19041,"Clay County, IA",0.5939
cty29025,"Caldwell County, MO",0.5938
cty55089,"Ozaukee County, WI",0.5937
cty05009,"Boone County, AR",0.5934
cty40025,"Cimarron County, OK",0.5931
cty42031,"Clarion County, PA",0.5931
cty17191,"Wayne County, IL",0.5931
cty26037,"Clinton County, MI",0.593
cty17041,"Douglas County, IL",0.5929
cty48175,"Goliad County, TX",0.5928
cty46123,"Tripp County, SD",0.5927
cty27171,"Wright County, MN",0.5926
cty56029,"Park County, WY",0.5925
cty18057,"Hamilton County, IN",0.5924
cty05137,"Stone County, AR",0.5923
cty26141,"Presque Isle County, MI",0.5923
cty20011,"Bourbon County, KS",0.5922
cty18129,"Posey County, IN",0.5921
cty55039,"Fond du Lac County, WI",0.5921
cty21233,"Webster County, KY",0.592
cty19049,"Dallas County, IA",0.5919
cty56015,"Goshen County, WY",0.5919
cty37005,"Alleghany County, NC",0.5915
cty17157,"Randolph County, IL",0.5912
cty55109,"St. Croix County, WI",0.5909
cty18015,"Carroll County, IN",0.5909
cty31007,"Banner County, NE",0.5909
cty20181,"Sherman County, KS",0.5908
cty48165,"Gaines County, TX",0.5907
cty48285,"Lavaca County, TX",0.5905
cty55005,"Barron County, WI",0.5905
cty46071,"Jackson County, SD",0.5903
cty39055,"Geauga County, OH",0.5902
cty19099,"Jasper County, IA",0.5902
cty08061,"Kiowa County, CO",0.5901
cty18063,"Hendricks County, IN",0.59
cty27091,"Martin County, MN",0.5894
cty55033,"Dunn County, WI",0.5893
cty39169,"Wayne County, OH",0.5891
cty39069,"Henry County, OH",0.589
cty56009,"Converse County, WY",0.589
cty40045,"Ellis County, OK",0.5888
cty20157,"Republic County, KS",0.5887
cty19079,"Hamilton County, IA",0.5887
cty18123,"Perry County, IN",0.5886
cty19121,"Madison County, IA",0.5883
cty31053,"Dodge County, NE",0.5882
cty38015,"Burleigh County, ND",0.5881
cty47187,"Williamson County, TN",0.5881
cty16035,"Clearwater County, ID",0.5881
cty38027,"Eddy County, ND",0.588
cty46101,"Moody County, SD",0.5878
cty38101,"Ward County, ND",0.5876
cty17033,"Crawford County, IL",0.5876
cty20019,"Chautauqua County, KS",0.5876
cty27113,"Pennington County, MN",0.5876
cty17071,"Henderson County, IL",0.5875
cty18183,"Whitley County, IN",0.5872
cty29167,"Polk County, MO",0.5871
cty32011,"Eureka County, NV",0.5868
cty39175,"Wyandot County, OH",0.5867
cty37189,"Watauga County, NC",0.5866
cty08115,"Sedgwick County, CO",0.5866
cty55123,"Vernon County, WI",0.5865
cty56039,"Teton County, WY",0.5865
cty30007,"Broadwater County, MT",0.5864
cty20041,"Dickinson County, KS",0.5864
cty29185,"St. Clair County, MO",0.5864
cty16083,"Twin Falls County, ID",0.5863
cty31101,"Keith County, NE",0.5863
cty29117,"Livingston County, MO",0.5861
cty30065,"Musselshell County, MT",0.586
cty20153,"Rawlins County, KS",0.5859
cty29001,"Adair County, MO",0.5858
cty42111,"Somerset County, PA",0.5857
